"denom","timestamp","price","marketCap","dayVolume"
"acudos",1660489200000,0.00898415,29571800,610468
"acudos",1660492800000,0.00899571,29619700,544270
"acudos",1660496400000,0.00842849,27637900,475306
"acudos",1660500000000,0.00841785,27671900,382271
"acudos",1660503600000,0.00841286,27674100,308788
"acudos",1660507200000,0.00841413,27692700,289604
"acudos",1660510800000,0.00844742,27778700,268705
"acudos",1660514400000,0.00840787,27676500,260431
"acudos",1660518000000,0.00847722,27919900,262815
"acudos",1660521600000,0.00851616,27880400,301122
"acudos",1660525200000,0.00854438,28134600,317599
"acudos",1660528800000,0.0088078,29065900,356006
"acudos",1660532400000,0.00894491,29444100,436095
"acudos",1660536000000,0.00884836,28947400,544970
"acudos",1660539600000,0.00889755,29301000,646613
"acudos",1660543200000,0.0088625,29188000,664723
"acudos",1660546800000,0.00885955,29086000,666543
"acudos",1660550400000,0.00870096,28655700,671377
"acudos",1660554000000,0.00869386,28628700,745416
"acudos",1660557600000,0.00867689,28540300,828682
"acudos",1660561200000,0.00862908,28414100,845285
"acudos",1660564800000,0.00881738,29034800,886207
"acudos",1660568400000,0.00854582,28159100,859254
"acudos",1660572000000,0.00855426,28189200,860818
"acudos",1660575600000,0.00851674,28065900,867288
"acudos",1660579200000,0.00848606,27937600,876194
"acudos",1660582800000,0.00878331,28936600,908360
"acudos",1660586400000,0.00879361,28957200,904683
"acudos",1660590000000,0.00835575,27517200,858046
"acudos",1660593600000,0.00879294,28957600,927554
"acudos",1660597200000,0.00866546,28536400,972483
"acudos",1660600800000,0.00869522,28859100,1054290
"acudos",1660604400000,0.00866796,28520500,1046510
"acudos",1660608000000,0.00865613,28504100,1014760
"acudos",1660611600000,0.0086374,28462800,994972
"acudos",1660615200000,0.00869748,28551600,973380
"acudos",1660618800000,0.00881665,29051900,925887
"acudos",1660622400000,0.00879089,28912900,840511
"acudos",1660626000000,0.00873623,28773800,739988
"acudos",1660629600000,0.00870794,28688800,704233
"acudos",1660633200000,0.00832785,27429600,685748
"acudos",1660636800000,0.00834037,27473800,680020
"acudos",1660640400000,0.00835349,27555000,626117
"acudos",1660644000000,0.00838477,27575500,545845
"acudos",1660647600000,0.008503,27987000,550714
"acudos",1660651200000,0.00895199,29460900,596706
"acudos",1660654800000,0.00874358,28796800,705282
"acudos",1660658400000,0.00866896,28520400,797000
"acudos",1660662000000,0.00864891,28487100,835662
"acudos",1660665600000,0.00862211,28501500,825825
"acudos",1660669200000,0.00861548,28380500,815090
"acudos",1660672800000,0.00861003,28293800,798623
"acudos",1660676400000,0.00864311,28343400,780640
"acudos",1660680000000,0.00857487,28240600,807770
"acudos",1660683600000,0.00853451,28117700,749756
"acudos",1660687200000,0.00860957,28348600,673626
"acudos",1660690800000,0.00866625,28632100,677380
"acudos",1660694400000,0.00869387,28635200,678017
"acudos",1660698000000,0.00880615,29112800,688780
"acudos",1660701600000,0.00881448,29129900,684383
"acudos",1660705200000,0.00885281,29247700,672628
"acudos",1660708800000,0.00875792,28924000,690850
"acudos",1660712400000,0.00870887,28820700,673760
"acudos",1660716000000,0.00870728,28868300,680228
"acudos",1660719600000,0.00864054,28555100,708699
"acudos",1660723200000,0.00847069,27990300,697839
"acudos",1660726800000,0.00848198,28026000,700978
"acudos",1660730400000,0.00848977,28048400,685598
"acudos",1660734000000,0.00855237,28257300,674541
"acudos",1660737600000,0.00854212,28195000,645229
"acudos",1660741200000,0.00858628,28377500,523763
"acudos",1660744800000,0.00852865,28190700,421341
"acudos",1660748400000,0.00855134,28261000,429365
"acudos",1660752000000,0.00876315,28828900,462370
"acudos",1660755600000,0.00847824,27958700,456480
"acudos",1660759200000,0.00855305,28264700,467216
"acudos",1660762800000,0.00862313,28492600,476249
"acudos",1660766400000,0.00849619,28087500,426107
"acudos",1660770000000,0.00850978,28139900,418953
"acudos",1660773600000,0.00847427,27997500,415799
"acudos",1660777200000,0.0084718,28001400,412131
"acudos",1660780800000,0.00844694,28124500,416464
"acudos",1660784400000,0.0084646,28042400,409153
"acudos",1660788000000,0.00848701,28087200,415598
"acudos",1660791600000,0.00852722,28161500,413405
"acudos",1660795200000,0.00854377,28245800,377557
"acudos",1660798800000,0.00856909,28343700,382777
"acudos",1660802400000,0.00862675,28505100,396727
"acudos",1660806000000,0.00859642,28429600,353208
"acudos",1660809600000,0.00868716,28689900,349748
"acudos",1660813200000,0.00873966,28991400,352066
"acudos",1660816800000,0.00873149,28885400,369364
"acudos",1660820400000,0.00877934,28918800,519885
"acudos",1660824000000,0.00881566,29115500,610901
"acudos",1660827600000,0.00890183,29358300,623914
"acudos",1660831200000,0.00891065,29549000,639130
"acudos",1660834800000,0.00891198,29528700,607929
"acudos",1660838400000,0.00853949,28259700,598428
"acudos",1660842000000,0.00844459,27929600,583547
"acudos",1660845600000,0.00846751,27969700,583675
"acudos",1660849200000,0.0084243,27815700,570522
"acudos",1660852800000,0.00835129,27716200,574126
"acudos",1660856400000,0.0083098,27498200,573171
"acudos",1660860000000,0.00844183,27916500,578523
"acudos",1660863600000,0.00836791,27762000,573395
"acudos",1660867200000,0.00831596,27554600,568953
"acudos",1660870800000,0.00822732,27189500,571504
"acudos",1660874400000,0.00819325,27063200,565168
"acudos",1660878000000,0.0081889,27071000,569547
"acudos",1660881600000,0.0081947,27111000,578998
"acudos",1660885200000,0.00821163,27142200,587299
"acudos",1660888800000,0.00839755,27778700,592240
"acudos",1660892400000,0.00828661,27413200,594300
"acudos",1660896000000,0.00811289,26872500,595355
"acudos",1660899600000,0.00809001,26753400,612968
"acudos",1660903200000,0.00808961,26783600,599046
"acudos",1660906800000,0.00806283,26734900,477049
"acudos",1660910400000,0.00797503,26450700,390148
"acudos",1660914000000,0.00798878,26435800,382228
"acudos",1660917600000,0.008194,27104700,371846
"acudos",1660921200000,0.00813885,27090000,367620
"acudos",1660924800000,0.00813459,26884100,344079
"acudos",1660928400000,0.00814726,26962800,334270
"acudos",1660932000000,0.00815105,26904800,335054
"acudos",1660935600000,0.00797128,26358900,360380
"acudos",1660939200000,0.00801132,26511400,362401
"acudos",1660942800000,0.00795391,26218200,362097
"acudos",1660946400000,0.00777345,25722800,355163
"acudos",1660950000000,0.00762082,25364700,359902
"acudos",1660953600000,0.00760118,25273300,356357
"acudos",1660957200000,0.00765072,25309200,356998
"acudos",1660960800000,0.00763116,25265500,361509
"acudos",1660964400000,0.00766377,25359200,357491
"acudos",1660968000000,0.00781067,25845600,360062
"acudos",1660971600000,0.00776563,25757000,352615
"acudos",1660975200000,0.00786784,26085600,349961
"acudos",1660978800000,0.00787729,26077600,346330
"acudos",1660982400000,0.00800671,26478400,338430
"acudos",1660986000000,0.00794393,26348300,328515
"acudos",1660989600000,0.007958,26302600,320646
"acudos",1660993200000,0.00804341,26522100,307801
